idx,company,address,tax1,tax2,tax3,website,lat,lng
152,OCOChem,"Richland, WA",Carbon/CCUS,Water/Wave/Hydro,Hydrogen,https://ocochem.com/,,
153,rStream,"Boston, Mass",IoT/IIoT,Environmental Remediation,Circular Economy,https://www.rstreamrecycling.com/,,
154,Sol Clarity,"Somerville, Mass",Solar,Environmental Remediation,Enabling Technologies/Components,https://www.solclarityeds.com/,,
155,Dimensional Energy,"Ithaca, NY",Transportation/MaaS,Biofuels/Bioeconomy,Carbon/CCUS,https://www.dimensionalenergy.com/,,
156,Matrix Sensors,"San Diego, CA",Enabling Technologies/Components,Carbon/CCUS,Environmental Remediation,https://www.matrixsensorsinc.com/,,
157,PingThings,"Washington, DC",IoT/IIoT,Utility/Grid,Professional Services,http://pingthings.io,,
158,Broadbit Batteries,"Helsinki, Finland",Storage/Batteries,Chemistry,,https://www.broadbit.com/,,
159,Geyser Batteries,"Mikkeli, Finland",Storage/Batteries,Enabling Technologies/Components,,https://www.geyserbatteries.com/,,
160,CarbonCents,"Columbia, South Carolina",IoT/IIoT,Energy Efficiency,Professional Services,https://www.carboncents.com/,,
161,Blaze Energy,"Denver, Colorado",Hydrogen,Enabling Technologies/Components,Generation/Transmission,https://blazeenergytech.com/,,
162,Access Sensor,"Fort Collins, Colorado",Enabling Technologies/Components,Environmental Remediation,,https://www.accsensors.com/,,
163,Atmos Zero,"Fort Collins, Colorado",Generation/Transmission,Thermal/Geothermal,Enabling Technologies/Components,http://atmoszero.energy/,,
164,Curable Composites,"Fort Collins, Colorado",Materials,,,https://www.curablecomposites.com/about,,
165,Changing Room,"New York City, NY",IoT/IIoT,Circular Economy,Materials,https://www.changingroom.eco/,,
166,Columbia Power Technologies,"Charlottesville, VA",Water/Wave/Hydro,IoT/IIoT,,https://cpower.co/,,
167,Greenore,"New York City, NY",Carbon/CCUS,Built Environment/Construction,Circular Economy,https://www.greenore.com/,,
168,Amperon,"Houston, Texas",IoT/IIoT,Utility/Grid,Generation/Transmission,https://amperon.co/,,
169,Conamix,"Ithaca, NY",Chemistry,Storage/Batteries,Materials,https://www.conamix.com/#5,,
170,Diverso Energy,"Toronto, Canada",Thermal/Geothermal,Utility/Grid,Energy Systems/Management,https://www.diversoenergy.com/,,
171,Ecolectro,"Ithaca, NY",Hydrogen,Enabling Technologies/Components,,https://www.ecolectro.com/,,
172,LimeLoop,"San Francisco, CA ",IoT/IIoT,Circular Economy,Materials,https://thelimeloop.com/,,
173,Ninedot Energy,"Brooklyn, NY",Utility/Grid,Energy Systems/Management,Storage/Batteries,https://www.nine.energy/,,
174,Setpoint,Israel,IoT/IIoT,Enabling Technologies/Components,Energy Efficiency,https://www.setpoint.ai/,,
175,Shifted Energy,"Honolulu, Hawaii",IoT/IIoT,Energy Systems/Management,Utility/Grid,https://www.shiftedenergy.com/,,
176,simuwatt,"Denver, Colorado",IoT/IIoT,Energy Efficiency,Built Environment/Construction,https://buildee.com/,,
177,SMPnet,"London, UK",IoT/IIoT,Energy Systems/Management,,https://smpnetworks.com/,,
178,Soteria BIG,"Greenville, SC",Storage/Batteries,Media/Assoc,Professional Services,https://www.soteriabig.com/,,
179,SWTCH,"Toronto, Canada",Storage/Batteries,Transportation/MaaS,Built Environment/Construction,https://swtchenergy.com/,,
180,Sylvera,"London, UK",Carbon/CCUS,Evaluation/Compliance,IoT/IIoT,https://www.sylvera.com/,,
181,Teknobuilt,"Calgary, Canada",IoT/IIoT,Built Environment/Construction,,https://www.teknobuilt.com/,,
182,Resonant Link,"Burlington, Vermont",Generation/Transmission,IoT/IIoT,Power Electronics,https://www.resonant-link.com/,,
183,Polar Night Energy,"Tampere, Finland",Thermal/Geothermal,Storage/Batteries,Energy Systems/Management,https://polarnightenergy.fi/,,
184,374Water,"Durham, NC",Water/Wave/Hydro,Environmental Remediation,Materials,https://374water.com/,,
185,GRACE,"Durham, NC",Energy Systems/Management,Utility/Grid,Power Electronics,https://arpa-e.energy.gov/technologies/projects/grid-thats-risk-aware-clean-electricity-grace,,
186,Nature Dots,"Delhi, India",IoT/IIoT,Circular Economy,,https://naturedots.com,,
187,Solar Unsoiled,"Durham, NC",Solar,IoT/IIoT,Ag/Food-tech,https://www.solarunsoiled.com/,,
188,TeraLoop,"Espoo, Finland",Storage/Batteries,Enabling Technologies/Components,Energy Efficiency,https://www.teraloop.org/,,
189,BlockCarbon,"Chicago, IL",Finance,IoT/IIoT,Carbon/CCUS,https://blockcarbon.io/,,
190,Copernic Catalysts,"Cambridge, MA",Chemistry,Hydrogen,Transportation/MaaS,https://coperniccatalysts.com/,,
191,DetoXyFi,"Boston, MA",Environmental Remediation,Enabling Technologies/Components,Water/Wave/Hydro,https://www.detoxyfi.com/,,
192,Terrastor,"Forth Worth, TX",Storage/Batteries,Utility/Grid,,https://www.terrastor.co/,,
193,Arbon,"Cambridge, MA",Carbon/CCUS,Materials,Enabling Technologies/Components,https://www.arboncapture.com/,,
194,Hexcrete Technology,"Ames, IA",Wind,Built Environment/Construction,Generation/Transmission,https://www.concreteconstruction.net/business/technology/hexcrete-wind-energy-towers_c,,
195,Project EVWC,IA,Transportation/MaaS,Storage/Batteries,Enabling Technologies/Components,,,
196,Rosenberg Solutions,"Des Moines, IA",Wind,IoT/IIoT,Professional Services,https://www.rosesolved.com/,,
197,Cella,"New York, NY",Carbon/CCUS,Geology/Mining,Chemistry,https://www.cellamineralstorage.com/,,
198,EV FireSafe,"Melbourne, Australia",Transportation/MaaS,Environmental Remediation,,https://www.evfiresafe.com/,,
199,Switched Source,"Vestal, NY",Enabling Technologies/Components,Generation/Transmission,Utility/Grid,https://www.switchedsource.com/,,
200,Virtus Solis,"Troy, MI",Solar,Generation/Transmission,,https://virtussolis.space/,,
201,ElectricFish,"Fremont, CA",Storage/Batteries,Transportation/MaaS,Enabling Technologies/Components,https://www.electricfish.co/,,
202,Active Surfaces,"Cambridge, MA",Solar,Materials,Enabling Technologies/Components,https://www.linkedin.com/company/activesurfaces/,,
203,Electrified Thermal Solutions,"Medford, MA",Storage/Batteries,Thermal/Geothermal,Materials,https://www.electrifiedthermal.com/,,
204,Finwave,"Waltham, MA",Enabling Technologies/Components,IoT/IIoT,Power Electronics,https://www.finwavesemi.com/,,
205,FoundEnergy,"Boston, MA",Hydrogen,Storage/Batteries,Energy Systems/Management,https://www.found.energy/,,
206,Mantel Capture,"Cambridge, MA",Enabling Technologies/Components,Energy Systems/Management,Carbon/CCUS,https://mantelcapture.com/,,
207,Muir.ai,"Seattle, WA",IoT/IIoT,Environmental Remediation,Energy Systems/Management,https://www.muir.ai/,,
208,Osmoses,"Cambridge, MA",Enabling Technologies/Components,Hydrogen,Carbon/CCUS,https://osmoses.com/,,
209,Quaise,"Cambridge, MA",Thermal/Geothermal,Enabling Technologies/Components,,https://www.quaise.energy/,,
210,Wenverter,"Glasgow, Scotland",Water/Wave/Hydro,Hydrogen,Generation/Transmission,https://www.wenverter.com/,,
211,Daqus Energy,"El Paso, TX",Enabling Technologies/Components,Storage/Batteries,Materials,https://www.activate.org/daqus-energy,,
212,GeoLabe,"Los Alamos, NM",IoT/IIoT,Geology/Mining,Evaluation/Compliance,https://www.geolabe.com/home,,
213,4C2B,"Boston, MA",Built Environment/Construction,Chemistry,Engineering,https://arpa-e.energy.gov/technologies/projects/4c2b-century-scale-carbon-sequestration-cross-laminated-timber-composite,,
214,Actinia,"Evanston, IL",Solar,Nuclear,Evaluation/Compliance,https://actiniadetectors.com/,,
215,Mattiq,"Skokie, IL",Materials,Manufacturing,Energy Systems/Management,https://mattiq.com/,,
216,MFNS-Tec,"Glenview, IL",Water/Wave/Hydro,Environmental Remediation,Enabling Technologies/Components,https://www.mfns-tech.com/,,
217,Volexion,"Evanston, IL",Storage/Batteries,Chemistry,,https://www.volexion-inc.com/,,
218,Vaulta,"Brisbane, Australia",Storage/Batteries,Manufacturing,Circular Economy,https://www.vaulta.com.au/,,
219,Khaira Energy,"Bandung, Indonesia",Storage/Batteries,Solar,Built Environment/Construction,https://khairaenergy.com/,,
220,Cypris Materials,"San Leandro, CA ",Materials,Manufacturing,Chemistry,https://www.cyprismaterials.com/,,
221,Adena Power,"Lewis Center, OH",Storage/Batteries,Chemistry,Power Electronics,https://adenapower.com/,,
222,Advano,"New Orleans, LA",REEs,Materials,Storage/Batteries,https://www.advano.io/,,
223,Atargis Energy,"Pueblo, CO",Water/Wave/Hydro,,,https://atargis.com/,,
224,Babylon Microfarms,"Richmond, VA",IoT/IIoT,Ag/Food-tech,,https://babylonmicrofarms.com/,,
225,Blocpower,"Brooklyn, NY",Built Environment/Construction,Energy Efficiency,IoT/IIoT,https://www.blocpower.io/,,
226,Boxpower,"Grass Valley, CA",Power Electronics,Utility/Grid,Energy Efficiency,https://boxpower.io/,,
227,Carnot Engines,"London, UK",Enabling Technologies/Components,Power Electronics,Transportation/MaaS,https://carnotengines.com/,,
228,CleanInnoGen Energy Solutions,"Ottowa, Ontario",Hydrogen,Energy Efficiency,Thermal/Geothermal,https://www.cleaninnogen.com/,,
229,Evoloh,"Palo Alto, California",Hydrogen,Enabling Technologies/Components,Chemistry,https://evoloh.com/,,
230,Greenspur Wind,"Cleveland, Ohio",Wind,REEs,Enabling Technologies/Components,https://www.greenspur.co.uk/,,
231,Growflux,"Philadelphia, PA",Enabling Technologies/Components,Lighting,Ag/Food-tech,https://growflux.com/,,
232,Harvest Thermal,"San Francisco, CA",Enabling Technologies/Components,Thermal/Geothermal,Energy Efficiency,https://www.harvest-thermal.com/,,
233,Hexas Biomass,"Olympia, WA",Circular Economy,Materials,Ag/Food-tech,https://hexas.com/,,
234,Heycharge,"Munich, Germany",IoT/IIoT,Storage/Batteries,Transportation/MaaS,https://heycharge.com/,,
235,Infraclear,"Washington, DC",Generation/Transmission,Finance,IoT/IIoT,https://infraclear.com/,,
236,Ionomr Innovations,"Vancouver, Canada",Hydrogen,Materials,Enabling Technologies/Components,https://ionomr.com/,,
237,LiBama Power,"Binghamton, New York",Storage/Batteries,Enabling Technologies/Components,,https://www.libamapower.com/,,
238,Marel Power Solutions,"Detroit, Michigan",Power Electronics,Enabling Technologies/Components,,https://marel-power.com/,,
239,Mars Materials,"Oakland, CA",Built Environment/Construction,Materials,Manufacturing,https://www.marsmaterials.tech/,,
